,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
theta[72],0.865,0.038,0.792,0.935,0.0,0.0,30247.0,30247.0,30092.0,11026.0,1.0
theta[73],0.508,0.042,0.428,0.588,0.0,0.0,33172.0,32205.0,33039.0,10528.0,1.0
theta[74],0.144,0.036,0.079,0.212,0.0,0.0,34433.0,27268.0,35575.0,10912.0,1.0
theta[75],0.043,0.019,0.011,0.078,0.0,0.0,28820.0,17742.0,35362.0,11021.0,1.0
theta[76],0.013,0.008,0.001,0.029,0.0,0.0,22875.0,13369.0,35276.0,10890.0,1.0
theta[77],0.999,0.002,0.995,1.0,0.0,0.0,14079.0,14079.0,30676.0,9423.0,1.0
theta[78],0.991,0.008,0.976,1.0,0.0,0.0,19724.0,19724.0,30878.0,9460.0,1.0
theta[79],0.937,0.03,0.882,0.989,0.0,0.0,29662.0,29662.0,31272.0,9525.0,1.0
theta[80],0.487,0.053,0.39,0.589,0.0,0.0,30658.0,29808.0,30734.0,11704.0,1.0
theta[81],0.055,0.029,0.008,0.109,0.0,0.0,25799.0,18183.0,25519.0,10091.0,1.0
theta[82],0.007,0.007,0.0,0.021,0.0,0.0,19203.0,13318.0,25359.0,10026.0,1.0
theta[83],0.001,0.002,0.0,0.004,0.0,0.0,15029.0,13389.0,25305.0,10023.0,1.0
theta[84],0.999,0.001,0.998,1.0,0.0,0.0,13643.0,13643.0,28847.0,11433.0,1.0
theta[85],0.996,0.005,0.987,1.0,0.0,0.0,17300.0,17300.0,28865.0,11464.0,1.0
theta[86],0.961,0.024,0.917,0.998,0.0,0.0,25651.0,25651.0,29177.0,11464.0,1.0
theta[87],0.534,0.056,0.424,0.634,0.0,0.0,33478.0,32150.0,33429.0,9883.0,1.0
theta[88],0.06,0.032,0.008,0.118,0.0,0.0,28531.0,18314.0,29494.0,11848.0,1.0
theta[89],0.008,0.008,0.0,0.023,0.0,0.0,19336.0,12090.0,29225.0,11756.0,1.0
theta[90],0.001,0.002,0.0,0.005,0.0,0.0,14536.0,10424.0,29104.0,11885.0,1.0
theta[91],0.996,0.004,0.99,1.0,0.0,0.0,17365.0,17365.0,32679.0,10984.0,1.0
theta[92],0.983,0.012,0.962,0.999,0.0,0.0,23611.0,23611.0,32714.0,11145.0,1.0
theta[93],0.911,0.033,0.847,0.968,0.0,0.0,31434.0,31434.0,32696.0,11554.0,1.0
theta[94],0.489,0.05,0.395,0.581,0.0,0.0,30998.0,30641.0,31002.0,11181.0,1.0
theta[95],0.079,0.033,0.023,0.143,0.0,0.0,30518.0,22023.0,30500.0,11568.0,1.0
